HUL Code,HUL Outlet Name,Shikhar Onboarding,DETS ME Name,DETS Beat,FnR ME Name,FnR Beat,ECO,Shikhar
HUL-217085D-P1143,A C Mohamed-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,25553.27,2640.45
HUL-217085D-PAR3,A B Agarwal-D-D,YES,Sourav Das,D-MECHUA 1,0,,1957.14,0
HUL-217085D-PAR4,A Basak-D-D,YES,Sunil Mullick,D-BAGBAZAR,Soumik Ghosh,F-BAG BAZAR,4867.73,1587.22
HUL-217701F-P4296,A GENERAL STORE-F,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,13989.27,2484.99
HUL-217085D-P1049,A K & SONS-D-D,NO,S K Islam,D-BOW STREET (1)_COMM,Koina Prasad,F- BOW STREET 1,0,0
HUL-217085D-PAR5,A K Bhunia-D-D,YES,Subir Mondal,D- NATUN BAZAR 3,Soumik Ghosh,F-NATUNBAZAR 2,3050.61,0
HUL-217085D-PAR6,A K DUTTA-D-D,YES,Sandip Saha,D-KALAKAR STREET,Rajesh Karmakar,F-KALAKAR STREET 2,6075.46,2791.53
HUL-217085D-PAR374,A K Gupta-D-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,2781.69,0
HUL-217085D-PAR9,A K Mullick-D-D,YES,Sourav Das,D-KHOTTA BAZAR,Debojyoti Ghosh,F-KHOTTA BAZAR,9865.57,13591.47
HUL-217085D-P1286,A K Stores (II)-D-D,NO,S K Islam,D-HASTINGS,Soumik Ghosh,F-HASTINGS EXTRA,2954.89,0
HUL-217701D-P14957,A K Stores-D,YES,Sourav Das,D-MECHUA 1,0,,4467.1,0
HUL-217085D-P1215,A K Stores-D-D,NO,S K Islam,D-HASTINGS,Soumik Ghosh,F-HASTINGS EXTRA,10078.48,0
HUL-217701D-P13287,A M STORES-D,NO,0,,Rajesh Karmakar,F-COLOOTOLA,7961.76,0
HUL-217085D-PAR10,A Shaw-D-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,72941.84,5145.04
HUL-217085D-P818,A. S. Modi-D-D,YES,Sourav Das,D-ZAKARIA STREET,Koina Prasad,F-M.G.ROAD,4853.98,2054.92
HUL-216252F-C1999,A.C.KAPAS(FLO)-F-D,NO,0,,Koina Prasad,F-M.G.ROAD,0,0
HUL-217085P-P142,A.GENERAL STORES-P-D,NO,0,,0,,4210.56,0
HUL-217701D-P15474,A4 Corner-D,YES,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,0,0
HUL-217701D-P15856,AA Enterprise-D,YES,S K Islam,D-M G ROAD,0,,0,0
HUL-217701D-P15323,Abdul Bari Store-D,YES,0,,Rajesh Karmakar,F-MECHUA 2,1456.9,644.39
